end_time,duration_hours,rainfall_in_mm
2023-10-07 12:00:00,3,0.0
2023-10-07 15:00:00,6,0.0
2023-10-07 18:00:00,9,0.0
2023-10-07 21:00:00,12,0.2
2023-10-08 00:00:00,15,0.2
2023-10-08 03:00:00,18,0.2
2023-10-08 06:00:00,21,0.2
2023-10-08 08:30:00,24,0.2
2023-10-08 12:00:00,3,0.0
2023-10-08 15:00:00,6,0.0
2023-10-08 18:00:00,9,0.0
2023-10-08 21:00:00,12,0.0
2023-10-09 00:00:00,15,0.0
2023-10-09 03:00:00,18,0.0
2023-10-09 06:00:00,21,0.0
2023-10-09 08:30:00,24,0.0
2023-10-09 12:00:00,3,0.0
2023-10-09 15:00:00,6,0.0
2023-10-09 18:00:00,9,0.0
2023-10-09 21:00:00,12,0.2
2023-10-10 00:00:00,15,0.2
2023-10-10 03:00:00,18,0.2
2023-10-10 06:00:00,21,0.2
2023-10-10 08:30:00,24,0.2
2023-10-10 12:00:00,3,0.0
2023-10-10 15:00:00,6,0.0
2023-10-10 18:00:00,9,0.0
2023-10-11 08:30:00,24,0.0
2023-10-11 12:00:00,3,0.0
2023-10-11 15:00:00,6,63.5
2023-10-11 18:00:00,9,79.0
2023-10-12 08:30:00,24,79.3
2023-10-12 12:00:00,3,0.0
2023-10-12 15:00:00,6,0.0
2023-10-12 18:00:00,9,0.0
2023-10-13 08:30:00,24,0.0
2023-10-13 12:00:00,3,0.0
2023-10-13 15:00:00,6,0.0
2023-10-13 18:00:00,9,0.0
2023-10-14 08:30:00,24,0.8
2023-10-14 12:00:00,3,0.0
2023-10-14 15:00:00,6,5.0
2023-10-15 08:30:00,24,26.3
2023-10-15 12:00:00,3,17.0
2023-10-15 15:00:00,6,17.0
2023-10-16 08:30:00,24,17.0
2023-10-16 12:00:00,3,0.0
2023-10-16 15:00:00,6,0.0
2023-10-17 08:30:00,24,16.0
2023-10-17 12:00:00,3,0.0
2023-10-17 15:00:00,6,0.0
2023-10-18 08:30:00,24,30.2
2023-10-18 12:00:00,3,0.0
2023-10-18 15:00:00,6,10.2
2023-10-19 08:30:00,24,26.0
2023-10-19 12:00:00,3,0.6
2023-10-19 15:00:00,6,0.6
2023-10-20 08:30:00,24,9.0
2023-10-20 12:00:00,3,0.0
2023-10-20 15:00:00,6,0.0
2023-10-21 08:30:00,24,1.0
2023-10-21 12:00:00,3,0.0
2023-10-21 15:00:00,6,0.0
2023-10-22 08:30:00,24,0.0
2023-10-22 12:00:00,3,0.0
2023-10-23 08:30:00,24,123.0
2023-10-23 12:00:00,3,0.0
2023-10-23 15:00:00,6,0.0
2023-10-23 18:00:00,9,0.0
2023-10-23 21:00:00,12,0.0
2023-10-24 00:00:00,15,0.0
2023-10-24 03:00:00,18,0.0
2023-10-24 06:00:00,21,0.0
2023-10-24 08:30:00,24,0.0
2023-10-24 12:00:00,3,0.0
2023-10-24 15:00:00,6,0.0
2023-10-24 18:00:00,9,0.0
2023-10-25 08:30:00,24,3.0
2023-10-25 12:00:00,3,0.0
2023-10-25 15:00:00,6,0.0
2023-10-25 18:00:00,9,0.5
2023-10-26 08:30:00,24,1.1
2023-10-26 12:00:00,3,0.0
2023-10-26 15:00:00,6,0.0
2023-10-27 08:30:00,24,32.1
2023-10-27 12:00:00,3,0.0
2023-10-27 15:00:00,6,0.0
2023-10-27 18:00:00,9,57.7
2023-10-28 08:30:00,24,57.9
2023-10-28 12:00:00,3,0.0
2023-10-28 15:00:00,6,0.0
2023-10-29 08:30:00,24,33.8
2023-10-29 12:00:00,3,0.0
2023-10-29 15:00:00,6,14.7
2023-10-30 12:00:00,3,0.0
2023-10-30 15:00:00,6,0.3
2023-10-30 18:00:00,9,25.2
2023-10-31 08:30:00,24,60.9
2023-10-31 12:00:00,3,0.0
2023-10-31 15:00:00,6,0.0
2023-10-31 18:00:00,9,18.6
2023-10-31 21:00:00,12,27.3
2023-11-01 00:00:00,15,27.3
2023-11-01 03:00:00,18,27.3
2023-11-01 06:00:00,21,27.3
2023-11-01 08:30:00,24,27.3
2023-11-01 12:00:00,3,0.0
2023-11-01 15:00:00,6,0.0
2023-11-01 18:00:00,9,4.6
2023-11-01 21:00:00,12,7.5
2023-11-02 00:00:00,15,7.5
2023-11-02 03:00:00,18,7.5
2023-11-02 06:00:00,21,8.0
2023-11-02 08:30:00,24,7.9
2023-11-02 12:00:00,3,0.0
2023-11-02 15:00:00,6,0.0
2023-11-02 18:00:00,9,0.0
2023-11-03 08:30:00,24,1.6
2023-11-03 12:00:00,3,0.0
2023-11-03 15:00:00,6,30.9
2023-11-03 18:00:00,9,34.1
2023-11-04 08:30:00,24,39.0
2023-11-04 12:00:00,3,0.0
2023-11-04 15:00:00,6,4.6
2023-11-05 08:30:00,24,29.6
2023-11-05 12:00:00,3,0.0
2023-11-05 15:00:00,6,0.0
2023-11-06 08:30:00,24,46.2
2023-11-06 18:00:00,9,59.0
2023-11-07 08:30:00,24,62.7
2023-11-07 15:00:00,6,0.0
2023-11-08 08:30:00,24,48.4
2023-11-08 12:00:00,3,0.0
2023-11-08 18:00:00,9,15.2
2023-11-09 08:30:00,24,20.0
2023-11-09 12:00:00,3,0.0
2023-11-09 15:00:00,6,0.0
2023-11-09 18:00:00,9,49.5
2023-11-10 08:30:00,24,55.5
2023-11-10 12:00:00,3,0.0
2023-11-10 15:00:00,6,0.0
2023-11-10 18:00:00,9,0.0
2023-11-11 08:30:00,24,4.8
2023-11-11 12:00:00,3,0.0
2023-11-11 15:00:00,6,0.0
2023-11-11 18:00:00,9,0.0
2023-11-12 08:30:00,24,0.0
2023-11-12 12:00:00,3,0.0
2023-11-12 15:00:00,6,0.0
2023-11-13 08:30:00,24,19.7
2023-11-13 12:00:00,3,0.0
2023-11-13 15:00:00,6,0.0
2023-11-13 18:00:00,9,0.0
2023-11-14 08:30:00,24,2.7
2023-11-15 08:30:00,24,0.0
2023-11-16 08:30:00,24,0.0
2023-11-17 08:30:00,24,0.0
2023-11-18 08:30:00,24,0.0
2023-11-19 08:30:00,24,20.5
2023-11-20 08:30:00,24,20.3
2023-11-20 12:00:00,3,0.0
2023-11-20 15:00:00,6,0.0
2023-11-20 18:00:00,9,0.0
2023-11-21 08:30:00,24,0.0
2023-11-21 12:00:00,3,0.0
2023-11-21 15:00:00,6,0.0
2023-11-22 08:30:00,24,29.4
2023-11-22 12:00:00,3,0.0
2023-11-22 15:00:00,6,0.0
2023-11-22 18:00:00,9,69.2
2023-11-22 21:00:00,12,78.9
2023-11-23 00:00:00,15,84.0
2023-11-23 03:00:00,18,84.0
2023-11-23 06:00:00,21,84.0
2023-11-23 08:30:00,24,84.0
2023-11-23 12:00:00,3,0.0
2023-11-23 15:00:00,6,0.0
2023-11-23 18:00:00,9,0.0
2023-11-23 21:00:00,12,0.0
2023-11-24 00:00:00,15,0.3
2023-11-24 03:00:00,18,0.3
2023-11-24 06:00:00,21,0.3
2023-11-24 08:30:00,24,0.3
2023-11-24 12:00:00,3,0.0
2023-11-24 15:00:00,6,0.0
2023-11-24 18:00:00,9,4.8
2023-11-25 08:30:00,24,4.8
2023-11-25 12:00:00,3,0.0
2023-11-25 15:00:00,6,0.0
2023-11-26 08:30:00,24,29.2
2023-11-27 08:30:00,24,0.0
2023-11-28 08:30:00,24,20.7
2023-11-29 08:30:00,24,55.7
2023-11-30 08:30:00,24,0.0
2023-12-02 08:30:00,24,0.7
2023-12-03 08:30:00,24,0.0
2023-12-04 08:30:00,24,10.8
2023-12-05 08:30:00,24,11.7
2023-12-06 08:30:00,24,8.2
2023-12-07 08:30:00,24,0.0
2023-12-08 08:30:00,24,5.9
2023-12-09 08:30:00,24,8.8
2023-12-10 08:30:00,24,27.8
2023-12-11 08:30:00,24,40.1
2023-12-12 08:30:00,24,0.2
2023-12-12 12:00:00,3,0.0
2023-12-12 15:00:00,6,1.2
2023-12-12 18:00:00,9,1.2
2023-12-13 08:30:00,24,1.2
2023-12-13 12:00:00,3,0.0
2023-12-13 15:00:00,6,0.0
2023-12-13 18:00:00,9,0.0
2023-12-14 08:30:00,24,0.0
2023-12-14 12:00:00,3,0.0
2023-12-14 15:00:00,6,0.0
2023-12-14 18:00:00,9,0.4
2023-12-15 08:30:00,24,11.6
2023-12-15 12:00:00,3,0.0
2023-12-15 15:00:00,6,0.4
2023-12-15 18:00:00,9,12.5
2023-12-16 08:30:00,24,16.6
2023-12-16 12:00:00,3,0.0
2023-12-16 15:00:00,6,0.0
2023-12-17 08:30:00,24,6.8
2023-12-17 12:00:00,3,0.0
2023-12-17 15:00:00,6,0.0
2023-12-18 08:30:00,24,22.8
